127 119
0.484367 -4.22112 0
0.484367 -4.21313 0
0.484367 -4.20512 0
0.484367 -4.19712 1
0.484367 -4.18913 0
0.484367 -4.18112 1
0.484367 -4.17313 1
0.484367 -4.16512 0
0.484367 -4.15712 0
0.484367 -4.14913 0
0.484367 -4.14112 0
0.484367 -4.13313 0
0.484367 -4.12512 0
0.484367 -4.11713 0
0.484367 -4.10913 0
0.484367 -4.10112 0
0.484367 -4.09313 0
0.484367 -4.08512 0
0.484367 -4.07712 0
0.484367 -4.06913 0
0.484367 -4.06112 0
0.484367 -4.05312 1
0.484367 -4.04513 0
0.484367 -4.03712 0
0.484367 -4.02913 0
0.484367 -4.02112 0
0.484367 -4.01312 0
0.484367 -4.00513 0
0.492367 -4.94913 0
0.492367 -4.94112 0
0.492367 -4.93313 0
0.492367 -4.92513 0
0.492367 -4.91712 0
0.492367 -4.90913 0
0.492367 -4.90112 0
0.492367 -4.89312 0
0.492367 -4.88513 0
0.492367 -4.87712 0
0.492367 -4.86913 0
0.492367 -4.86112 0
0.492367 -4.85312 0
0.492367 -4.84513 0
0.492367 -4.83712 0
0.492367 -4.82913 0
0.492367 -4.82113 0
0.492367 -4.81312 0
0.492367 -4.80513 0
0.492367 -4.79712 0
0.492367 -4.78912 1
0.492367 -4.78113 0
0.492367 -4.77312 0
0.492367 -4.76513 0
0.492367 -4.75712 0
0.492367 -4.74913 0
0.492367 -4.74113 0
0.492367 -4.73312 0
0.492367 -4.72513 0
0.492367 -4.71712 0
0.492367 -4.70913 0
0.492367 -4.70113 0
0.492367 -4.69312 0
0.492367 -4.68513 0
0.492367 -4.67712 0
0.492367 -4.66912 0
0.492367 -4.66113 0
0.492367 -4.65312 0
0.492367 -4.64513 0
0.492367 -4.63713 0
0.492367 -4.62912 0
0.492367 -4.62113 0
0.492367 -4.61312 0
0.492367 -4.60512 0
0.492367 -4.59713 0
0.492367 -4.58912 0
0.492367 -4.58113 1
0.492367 -4.57312 1
0.492367 -4.56512 0
0.492367 -4.55713 1
0.492367 -4.54912 1
0.492367 -4.54113 1
0.492367 -4.53312 0
0.492367 -4.52513 0
0.492367 -4.51713 0
0.492367 -4.50912 0
0.492367 -4.50113 0
0.492367 -4.49312 0
0.492367 -4.48512 0
0.492367 -4.47713 1
0.492367 -4.46912 1
0.492367 -4.46113 0
0.492367 -4.45313 1
0.492367 -4.44512 1
0.492367 -4.43713 0
0.492367 -4.42912 0
0.492367 -4.42112 0
0.492367 -4.41313 0
0.492367 -4.40512 0
0.492367 -4.39713 0
0.492367 -4.38912 1
0.492367 -4.38112 0
0.492367 -4.37313 0
0.492367 -4.36512 0
0.492367 -4.35713 0
0.492367 -4.34912 0
0.492367 -4.34113 0
0.492367 -4.33313 0
0.492367 -4.32512 0
0.492367 -4.31713 0
0.492367 -4.30912 0
0.492367 -4.30113 0
0.492367 -4.29313 0
0.492367 -4.28512 0
0.492367 -4.27713 0
0.492367 -4.26912 0
0.492367 -4.26112 0
0.492367 -4.25313 0
0.492367 -4.24512 0
0.492367 -4.23712 0
0.492367 -4.22913 0
0.492367 -4.22112 0
0.492367 -4.21313 0
0.492367 -4.20512 0
0.492367 -4.19712 0
0.492367 -4.18913 1
0.492367 -4.18112 0
0.492367 -4.17313 0
0.492367 -4.16512 0
0.492367 -4.15712 1
0.492367 -4.14913 1
0.492367 -4.14112 0
0.492367 -4.13313 0
0.492367 -4.12512 0
0.492367 -4.11713 0
0.492367 -4.10913 0
0.492367 -4.10112 0
0.492367 -4.09313 0
0.492367 -4.08512 0
0.492367 -4.07712 0
0.492367 -4.06913 0
0.492367 -4.06112 0
0.492367 -4.05312 0
0.492367 -4.04513 0
0.492367 -4.03712 0
0.492367 -4.02913 0
0.492367 -4.02112 0
0.492367 -4.01312 0
0.492367 -4.00513 0
0.500367 -4.94913 0
0.500367 -4.94112 0
0.500367 -4.93313 0
0.500367 -4.92513 0
0.500367 -4.91712 0
0.500367 -4.90913 0
0.500367 -4.90112 0
0.500367 -4.89312 0
0.500367 -4.88513 0
0.500367 -4.87712 0
0.500367 -4.86913 0
0.500367 -4.86112 0
0.500367 -4.85312 0
0.500367 -4.84513 0
0.500367 -4.83712 0
0.500367 -4.82913 0
0.500367 -4.82113 0
0.500367 -4.81312 0
0.500367 -4.80513 0
0.500367 -4.79712 0
0.500367 -4.78912 0
0.500367 -4.78113 0
0.500367 -4.77312 0
0.500367 -4.76513 0
0.500367 -4.75712 0
0.500367 -4.74913 0
0.500367 -4.74113 0
0.500367 -4.73312 0
0.500367 -4.72513 0
0.500367 -4.71712 0
0.500367 -4.70913 0
0.500367 -4.70113 0
0.500367 -4.69312 0
0.500367 -4.68513 0
0.500367 -4.67712 0
0.500367 -4.66912 0
0.500367 -4.66113 0
0.500367 -4.65312 0
0.500367 -4.64513 0
0.500367 -4.63713 0
0.500367 -4.62912 0
0.500367 -4.62113 0
0.500367 -4.61312 0
0.500367 -4.60512 0
0.500367 -4.59713 0
0.500367 -4.58912 0
0.500367 -4.58113 0
0.500367 -4.57312 0
0.500367 -4.56512 0
0.500367 -4.55713 0
0.500367 -4.54912 0
0.500367 -4.54113 0
0.500367 -4.53312 0
0.500367 -4.52513 0
0.500367 -4.51713 0
0.500367 -4.50912 0
0.500367 -4.50113 0
0.500367 -4.49312 0
0.500367 -4.48512 0
0.500367 -4.47713 0
0.500367 -4.46912 0
0.500367 -4.46113 0
0.500367 -4.45313 0
0.500367 -4.44512 0
0.500367 -4.43713 0
0.500367 -4.42912 0
0.500367 -4.42112 0
0.500367 -4.41313 0
0.500367 -4.40512 0
0.500367 -4.39713 0
0.500367 -4.38912 0
0.500367 -4.38112 0
0.500367 -4.37313 0
0.500367 -4.36512 0
0.500367 -4.35713 0
0.500367 -4.34912 0
0.500367 -4.34113 0
0.500367 -4.33313 0
0.500367 -4.32512 0
0.500367 -4.31713 0
0.500367 -4.30912 0
0.500367 -4.30113 0
0.500367 -4.29313 0
0.500367 -4.28512 0
0.500367 -4.27713 0
0.500367 -4.26912 0
0.500367 -4.26112 0
0.500367 -4.25313 0
0.500367 -4.24512 0
0.500367 -4.23712 0
0.500367 -4.22913 0
0.500367 -4.22112 0
0.500367 -4.21313 0
0.500367 -4.20512 0
0.500367 -4.19712 0
0.500367 -4.18913 0
0.500367 -4.18112 0
0.500367 -4.17313 0
0.500367 -4.16512 0
0.500367 -4.15712 0
0.500367 -4.14913 0
0.500367 -4.14112 0
0.500367 -4.13313 0
0.500367 -4.12512 0
0.500367 -4.11713 0
0.500367 -4.10913 0
0.500367 -4.10112 0
0.500367 -4.09313 0
0.500367 -4.08512 0
0.500367 -4.07712 0
0.500367 -4.06913 0
0.500367 -4.06112 0
0.500367 -4.05312 0
0.500367 -4.04513 0
0.500367 -4.03712 0
0.500367 -4.02913 0
0.500367 -4.02112 0
0.500367 -4.01312 0
0.500367 -4.00513 0
0.508367 -4.94913 0
0.508367 -4.94112 0
0.508367 -4.93313 0
0.508367 -4.92513 0
0.508367 -4.91712 0
0.508367 -4.90913 0
0.508367 -4.90112 0
0.508367 -4.89312 0
0.508367 -4.88513 0
0.508367 -4.87712 0
0.508367 -4.86913 0
0.508367 -4.86112 0
0.508367 -4.85312 0
0.508367 -4.84513 0
0.508367 -4.83712 0
0.508367 -4.82913 0
0.508367 -4.82113 0
0.508367 -4.81312 0
0.508367 -4.80513 0
0.508367 -4.79712 0
0.508367 -4.78912 0
0.508367 -4.78113 0
0.508367 -4.77312 0
0.508367 -4.76513 0
0.508367 -4.75712 0
0.508367 -4.74913 0
0.508367 -4.74113 0
0.508367 -4.73312 0
0.508367 -4.72513 0
0.508367 -4.71712 0
0.508367 -4.70913 0
0.508367 -4.70113 0
0.508367 -4.69312 0
0.508367 -4.68513 0
0.508367 -4.67712 0
0.508367 -4.66912 0
0.508367 -4.66113 0
0.508367 -4.65312 0
0.508367 -4.64513 0
0.508367 -4.63713 0
0.508367 -4.62912 0
0.508367 -4.62113 0
0.508367 -4.61312 0
0.508367 -4.60512 0
0.508367 -4.59713 0
0.508367 -4.58912 0
0.508367 -4.58113 0
0.508367 -4.57312 0
0.508367 -4.56512 0
0.508367 -4.55713 0
0.508367 -4.54912 0
0.508367 -4.54113 0
0.508367 -4.53312 0
0.508367 -4.52513 0
0.508367 -4.51713 0
0.508367 -4.50912 0
0.508367 -4.50113 0
0.508367 -4.49312 0
0.508367 -4.48512 0
0.508367 -4.47713 0
0.508367 -4.46912 0
0.508367 -4.46113 0
0.508367 -4.45313 0
0.508367 -4.44512 0
0.508367 -4.43713 0
0.508367 -4.42912 0
0.508367 -4.42112 0
0.508367 -4.41313 0
0.508367 -4.40512 0
0.508367 -4.39713 0
0.508367 -4.38912 0
0.508367 -4.38112 0
0.508367 -4.37313 0
0.508367 -4.36512 0
0.508367 -4.35713 0
0.508367 -4.34912 0
0.508367 -4.34113 0
0.508367 -4.33313 0
0.508367 -4.32512 0
0.508367 -4.31713 0
0.508367 -4.30912 0
0.508367 -4.30113 0
0.508367 -4.29313 0
0.508367 -4.28512 0
0.508367 -4.27713 0
0.508367 -4.26912 0
0.508367 -4.26112 0
0.508367 -4.25313 0
0.508367 -4.24512 0
0.508367 -4.23712 0
0.508367 -4.22913 0
0.508367 -4.22112 0
0.508367 -4.21313 0
0.508367 -4.20512 0
0.508367 -4.19712 0
0.508367 -4.18913 0
0.508367 -4.18112 0
0.508367 -4.17313 0
0.508367 -4.16512 0
0.508367 -4.15712 0
0.508367 -4.14913 0
0.508367 -4.14112 0
0.508367 -4.13313 0
0.508367 -4.12512 0
0.508367 -4.11713 0
0.508367 -4.10913 0
0.508367 -4.10112 0
0.508367 -4.09313 0
0.508367 -4.08512 0
0.508367 -4.07712 0
0.508367 -4.06913 0
0.508367 -4.06112 0
0.508367 -4.05312 0
0.508367 -4.04513 0
0.508367 -4.03712 0
0.508367 -4.02913 0
0.508367 -4.02112 0
0.508367 -4.01312 0
0.508367 -4.00513 0
0.516367 -4.94913 0
0.516367 -4.94112 0
0.516367 -4.93313 0
0.516367 -4.92513 0
0.516367 -4.91712 0
0.516367 -4.90913 0
0.516367 -4.90112 0
0.516367 -4.89312 0
0.516367 -4.88513 0
0.516367 -4.87712 0
0.516367 -4.86913 0
0.516367 -4.86112 0
0.516367 -4.85312 0
0.516367 -4.84513 0
0.516367 -4.83712 0
0.516367 -4.82913 0
0.516367 -4.82113 0
0.516367 -4.81312 0
0.516367 -4.80513 0
0.516367 -4.79712 0
0.516367 -4.78912 0
0.516367 -4.78113 0
0.516367 -4.77312 0
0.516367 -4.76513 0
0.516367 -4.75712 0
0.516367 -4.74913 0
0.516367 -4.74113 0
0.516367 -4.73312 0
0.516367 -4.72513 0
0.516367 -4.71712 0
0.516367 -4.70913 0
0.516367 -4.70113 0
0.516367 -4.69312 0
0.516367 -4.68513 0
0.516367 -4.67712 0
0.516367 -4.66912 0
0.516367 -4.66113 0
0.516367 -4.65312 0
0.516367 -4.64513 0
0.516367 -4.63713 0
0.516367 -4.62912 0
0.516367 -4.62113 0
0.516367 -4.61312 0
0.516367 -4.60512 0
0.516367 -4.59713 0
0.516367 -4.58912 0
0.516367 -4.58113 0
0.516367 -4.57312 0
0.516367 -4.56512 0
0.516367 -4.55713 0
0.516367 -4.54912 0
0.516367 -4.54113 0
0.516367 -4.53312 0
0.516367 -4.52513 0
0.516367 -4.51713 0
0.516367 -4.50912 0
0.516367 -4.50113 0
0.516367 -4.49312 0
0.516367 -4.48512 0
0.516367 -4.47713 0
0.516367 -4.46912 0
0.516367 -4.46113 0
0.516367 -4.45313 0
0.516367 -4.44512 0
0.516367 -4.43713 0
0.516367 -4.42912 0
0.516367 -4.42112 0
0.516367 -4.41313 0
0.516367 -4.40512 0
0.516367 -4.39713 0
0.516367 -4.38912 0
0.516367 -4.38112 0
0.516367 -4.37313 0
0.516367 -4.36512 0
0.516367 -4.35713 0
0.516367 -4.34912 0
0.516367 -4.34113 0
0.516367 -4.33313 0
0.516367 -4.32512 0
0.516367 -4.31713 0
0.516367 -4.30912 0
0.516367 -4.30113 0
0.516367 -4.29313 0
0.516367 -4.28512 0
0.516367 -4.27713 0
0.516367 -4.26912 0
0.516367 -4.26112 0
0.516367 -4.25313 0
0.516367 -4.24512 0
0.516367 -4.23712 0
0.516367 -4.22913 0
0.516367 -4.22112 0
0.516367 -4.21313 0
0.516367 -4.20512 0
0.516367 -4.19712 0
0.516367 -4.18913 0
0.516367 -4.18112 0
0.516367 -4.17313 0
0.516367 -4.16512 0
0.516367 -4.15712 0
0.516367 -4.14913 0
0.516367 -4.14112 0
0.516367 -4.13313 0
0.516367 -4.12512 0
0.516367 -4.11713 0
0.516367 -4.10913 0
0.516367 -4.10112 0
0.516367 -4.09313 0
0.516367 -4.08512 0
0.516367 -4.07712 0
0.516367 -4.06913 0
0.516367 -4.06112 0
0.516367 -4.05312 0
0.516367 -4.04513 0
0.516367 -4.03712 0
0.516367 -4.02913 0
0.516367 -4.02112 0
0.516367 -4.01312 0
0.516367 -4.00513 0
0.524367 -4.94913 0
0.524367 -4.94112 0
0.524367 -4.93313 0
0.524367 -4.92513 0
0.524367 -4.91712 0
0.524367 -4.90913 0
0.524367 -4.90112 0
0.524367 -4.89312 0
0.524367 -4.88513 0
0.524367 -4.87712 0
0.524367 -4.86913 0
0.524367 -4.86112 0
0.524367 -4.85312 0
0.524367 -4.84513 0
0.524367 -4.83712 0
0.524367 -4.82913 0
0.524367 -4.82113 0
0.524367 -4.81312 0
0.524367 -4.80513 0
0.524367 -4.79712 0
0.524367 -4.78912 0
0.524367 -4.78113 0
0.524367 -4.77312 0
0.524367 -4.76513 0
0.524367 -4.75712 0
0.524367 -4.74913 0
0.524367 -4.74113 0
0.524367 -4.73312 0
0.524367 -4.72513 0
0.524367 -4.71712 0
0.524367 -4.70913 0
0.524367 -4.70113 0
0.524367 -4.69312 0
0.524367 -4.68513 0
0.524367 -4.67712 0
0.524367 -4.66912 0
0.524367 -4.66113 0
0.524367 -4.65312 0
0.524367 -4.64513 0
0.524367 -4.63713 0
0.524367 -4.62912 0
0.524367 -4.62113 0
0.524367 -4.61312 0
0.524367 -4.60512 0
0.524367 -4.59713 0
0.524367 -4.58912 0
0.524367 -4.58113 0
0.524367 -4.57312 0
0.524367 -4.56512 0
0.524367 -4.55713 0
0.524367 -4.54912 0
0.524367 -4.54113 0
0.524367 -4.53312 0
0.524367 -4.52513 0
0.524367 -4.51713 0
0.524367 -4.50912 0
0.524367 -4.50113 0
0.524367 -4.49312 0
0.524367 -4.48512 0
0.524367 -4.47713 0
0.524367 -4.46912 0
0.524367 -4.46113 0
0.524367 -4.45313 1
0.524367 -4.44512 1
0.524367 -4.43713 0
0.524367 -4.42912 0
0.524367 -4.42112 0
0.524367 -4.41313 0
0.524367 -4.40512 0
0.524367 -4.39713 0
0.524367 -4.38912 0
0.524367 -4.38112 0
0.524367 -4.37313 0
0.524367 -4.36512 0
0.524367 -4.35713 0
0.524367 -4.34912 0
0.524367 -4.34113 0
0.524367 -4.33313 0
0.524367 -4.32512 0
0.524367 -4.31713 0
0.524367 -4.30912 0
0.524367 -4.30113 0
0.524367 -4.29313 0
0.524367 -4.28512 0
0.524367 -4.27713 0
0.524367 -4.26912 0
0.524367 -4.26112 0
0.524367 -4.25313 0
0.524367 -4.24512 0
0.524367 -4.23712 0
0.524367 -4.22913 0
0.524367 -4.22112 0
0.524367 -4.21313 0
0.524367 -4.20512 0
0.524367 -4.19712 0
0.524367 -4.18913 0
0.524367 -4.18112 0
0.524367 -4.17313 0
0.524367 -4.16512 0
0.524367 -4.15712 0
0.524367 -4.14913 0
0.524367 -4.14112 0
0.524367 -4.13313 0
0.524367 -4.12512 0
0.524367 -4.11713 0
0.524367 -4.10913 0
0.524367 -4.10112 0
0.524367 -4.09313 0
0.524367 -4.08512 0
0.524367 -4.07712 0
0.524367 -4.06913 0
0.524367 -4.06112 0
0.524367 -4.05312 0
0.524367 -4.04513 0
0.524367 -4.03712 0
0.524367 -4.02913 0
0.524367 -4.02112 0
0.524367 -4.01312 0
0.524367 -4.00513 0
0.532367 -4.94913 0
0.532367 -4.94112 0
0.532367 -4.93313 0
0.532367 -4.92513 0
0.532367 -4.91712 0
0.532367 -4.90913 0
0.532367 -4.90112 0
0.532367 -4.89312 0
0.532367 -4.88513 0
0.532367 -4.87712 0
0.532367 -4.86913 0
0.532367 -4.86112 0
0.532367 -4.85312 0
0.532367 -4.84513 0
0.532367 -4.83712 0
0.532367 -4.82913 0
0.532367 -4.82113 0
0.532367 -4.81312 0
0.532367 -4.80513 0
0.532367 -4.79712 0
0.532367 -4.78912 0
0.532367 -4.78113 0
0.532367 -4.77312 0
0.532367 -4.76513 0
0.532367 -4.75712 0
0.532367 -4.74913 0
0.532367 -4.74113 0
0.532367 -4.73312 0
0.532367 -4.72513 0
0.532367 -4.71712 0
0.532367 -4.70913 0
0.532367 -4.70113 0
0.532367 -4.69312 0
0.532367 -4.68513 0
0.532367 -4.67712 0
0.532367 -4.66912 0
0.532367 -4.66113 0
0.532367 -4.65312 0
0.532367 -4.64513 0
0.532367 -4.63713 0
0.532367 -4.62912 0
0.532367 -4.62113 0
0.532367 -4.61312 0
0.532367 -4.60512 0
0.532367 -4.59713 0
0.532367 -4.58912 0
0.532367 -4.58113 0
0.532367 -4.57312 0
0.532367 -4.56512 0
0.532367 -4.55713 0
0.532367 -4.54912 0
0.532367 -4.54113 0
0.532367 -4.53312 0
0.532367 -4.52513 0
0.532367 -4.51713 0
0.532367 -4.50912 0
0.532367 -4.50113 0
0.532367 -4.49312 0
0.532367 -4.48512 0
0.532367 -4.47713 0
0.532367 -4.46912 0
0.532367 -4.46113 0
0.532367 -4.45313 1
0.532367 -4.44512 1
0.532367 -4.43713 0
0.532367 -4.42912 0
0.532367 -4.42112 0
0.532367 -4.41313 0
0.532367 -4.40512 0
0.532367 -4.39713 0
0.532367 -4.38912 0
0.532367 -4.38112 0
0.532367 -4.37313 0
0.532367 -4.36512 0
0.532367 -4.35713 0
0.532367 -4.34912 0
0.532367 -4.34113 0
0.532367 -4.33313 0
0.532367 -4.32512 0
0.532367 -4.31713 0
0.532367 -4.30912 1
0.532367 -4.30113 0
0.532367 -4.29313 1
0.532367 -4.28512 1
0.532367 -4.27713 0
0.532367 -4.26912 0
0.532367 -4.26112 0
0.532367 -4.25313 0
0.532367 -4.24512 0
0.532367 -4.23712 0
0.532367 -4.22913 0
0.532367 -4.22112 0
0.532367 -4.21313 0
0.532367 -4.20512 0
0.532367 -4.19712 0
0.532367 -4.18913 0
0.532367 -4.18112 0
0.532367 -4.17313 0
0.532367 -4.16512 0
0.532367 -4.15712 0
0.532367 -4.14913 0
0.532367 -4.14112 0
0.532367 -4.13313 0
0.532367 -4.12512 0
0.532367 -4.11713 0
0.532367 -4.10913 0
0.532367 -4.10112 0
0.532367 -4.09313 0
0.532367 -4.08512 0
0.532367 -4.07712 0
0.532367 -4.06913 0
0.532367 -4.06112 0
0.532367 -4.05312 0
0.532367 -4.04513 0
0.532367 -4.03712 0
0.532367 -4.02913 0
0.532367 -4.02112 0
0.532367 -4.01312 0
0.532367 -4.00513 0
0.540367 -4.94913 0
0.540367 -4.94112 0
0.540367 -4.93313 0
0.540367 -4.92513 0
0.540367 -4.91712 0
0.540367 -4.90913 0
0.540367 -4.90112 0
0.540367 -4.89312 0
0.540367 -4.88513 0
0.540367 -4.87712 0
0.540367 -4.86913 0
0.540367 -4.86112 0
0.540367 -4.85312 0
0.540367 -4.84513 0
0.540367 -4.83712 0
0.540367 -4.82913 0
0.540367 -4.82113 0
0.540367 -4.81312 0
0.540367 -4.80513 0
0.540367 -4.79712 0
0.540367 -4.78912 0
0.540367 -4.78113 0
0.540367 -4.77312 0
0.540367 -4.76513 0
0.540367 -4.75712 0
0.540367 -4.74913 0
0.540367 -4.74113 0
0.540367 -4.73312 0
0.540367 -4.72513 0
0.540367 -4.71712 0
0.540367 -4.70913 0
0.540367 -4.70113 0
0.540367 -4.69312 0
0.540367 -4.68513 0
0.540367 -4.67712 0
0.540367 -4.66912 0
0.540367 -4.66113 0
0.540367 -4.65312 0
0.540367 -4.64513 0
0.540367 -4.63713 0
0.540367 -4.62912 0
0.540367 -4.62113 0
0.540367 -4.61312 0
0.540367 -4.60512 0
0.540367 -4.59713 0
0.540367 -4.58912 0
0.540367 -4.58113 0
0.540367 -4.57312 0
0.540367 -4.56512 0
0.540367 -4.55713 0
0.540367 -4.54912 0
0.540367 -4.54113 0
0.540367 -4.53312 0
0.540367 -4.52513 0
0.540367 -4.51713 0
0.540367 -4.50912 0
0.540367 -4.50113 0
0.540367 -4.49312 0
0.540367 -4.48512 0
0.540367 -4.47713 0
0.540367 -4.46912 0
0.540367 -4.46113 0
0.540367 -4.45313 0
0.540367 -4.44512 1
0.540367 -4.43713 0
0.540367 -4.42912 0
0.540367 -4.42112 0
0.540367 -4.41313 0
0.540367 -4.40512 0
0.540367 -4.39713 0
0.540367 -4.38912 0
0.540367 -4.38112 0
0.540367 -4.37313 0
0.540367 -4.36512 0
0.540367 -4.35713 0
0.540367 -4.34912 0
0.540367 -4.34113 0
0.540367 -4.33313 0
0.540367 -4.32512 0
0.540367 -4.31713 1
0.540367 -4.30912 1
0.540367 -4.30113 1
0.540367 -4.29313 0
0.540367 -4.28512 1
0.540367 -4.27713 1
0.540367 -4.26912 0
0.540367 -4.26112 0
0.540367 -4.25313 0
0.540367 -4.24512 0
0.540367 -4.23712 0
0.540367 -4.22913 0
0.540367 -4.22112 0
0.540367 -4.21313 0
0.540367 -4.20512 0
0.540367 -4.19712 0
0.540367 -4.18913 0
0.540367 -4.18112 0
0.540367 -4.17313 0
0.540367 -4.16512 0
0.540367 -4.15712 0
0.540367 -4.14913 0
0.540367 -4.14112 0
0.540367 -4.13313 0
0.540367 -4.12512 0
0.540367 -4.11713 0
0.540367 -4.10913 0
0.540367 -4.10112 0
0.540367 -4.09313 0
0.540367 -4.08512 0
0.540367 -4.07712 0
0.540367 -4.06913 0
0.540367 -4.06112 0
0.540367 -4.05312 0
0.540367 -4.04513 0
0.540367 -4.03712 0
0.540367 -4.02913 0
0.540367 -4.02112 0
0.540367 -4.01312 0
0.540367 -4.00513 0
0.548367 -4.94913 0
0.548367 -4.94112 0
0.548367 -4.93313 0
0.548367 -4.92513 0
0.548367 -4.91712 0
0.548367 -4.90913 0
0.548367 -4.90112 0
0.548367 -4.89312 0
0.548367 -4.88513 0
0.548367 -4.87712 0
0.548367 -4.86913 0
0.548367 -4.86112 0
0.548367 -4.85312 0
0.548367 -4.84513 0
0.548367 -4.83712 0
0.548367 -4.82913 0
0.548367 -4.82113 0
0.548367 -4.81312 0
0.548367 -4.80513 0
0.548367 -4.79712 0
0.548367 -4.78912 1
0.548367 -4.78113 1
0.548367 -4.77312 0
0.548367 -4.76513 0
0.548367 -4.75712 0
0.548367 -4.74913 0
0.548367 -4.74113 0
0.548367 -4.73312 0
0.548367 -4.72513 0
0.548367 -4.71712 0
0.548367 -4.70913 0
0.548367 -4.70113 0
0.548367 -4.69312 0
0.548367 -4.68513 0
0.548367 -4.67712 0
0.548367 -4.66912 0
0.548367 -4.66113 0
0.548367 -4.65312 0
0.548367 -4.64513 0
0.548367 -4.63713 0
0.548367 -4.62912 0
0.548367 -4.62113 0
0.548367 -4.61312 0
0.548367 -4.60512 0
0.548367 -4.59713 0
0.548367 -4.58912 0
0.548367 -4.58113 0
0.548367 -4.57312 0
0.548367 -4.56512 0
0.548367 -4.55713 0
0.548367 -4.54912 0
0.548367 -4.54113 0
0.548367 -4.53312 0
0.548367 -4.52513 0
0.548367 -4.51713 0
0.548367 -4.50912 0
0.548367 -4.50113 0
0.548367 -4.49312 1
0.548367 -4.48512 0
0.548367 -4.47713 0
0.548367 -4.46912 1
0.548367 -4.46113 0
0.548367 -4.45313 1
0.548367 -4.44512 0
0.548367 -4.43713 0
0.548367 -4.42912 0
0.548367 -4.42112 0
0.548367 -4.41313 0
0.548367 -4.40512 0
0.548367 -4.39713 0
0.548367 -4.38912 0
0.548367 -4.38112 0
0.548367 -4.37313 0
0.548367 -4.36512 0
0.548367 -4.35713 0
0.548367 -4.34912 0
0.548367 -4.34113 0
0.548367 -4.33313 0
0.548367 -4.32512 0
0.548367 -4.31713 1
0.548367 -4.30912 0
0.548367 -4.30113 1
0.548367 -4.29313 1
0.548367 -4.28512 0
0.548367 -4.27713 1
0.548367 -4.26912 0
0.548367 -4.26112 0
0.548367 -4.25313 0
0.548367 -4.24512 0
0.548367 -4.23712 0
0.548367 -4.22913 0
0.548367 -4.22112 0
0.548367 -4.21313 0
0.548367 -4.20512 0
0.548367 -4.19712 0
0.548367 -4.18913 0
0.548367 -4.18112 0
0.548367 -4.17313 0
0.548367 -4.16512 0
0.548367 -4.15712 0
0.548367 -4.14913 0
0.548367 -4.14112 0
0.548367 -4.13313 0
0.548367 -4.12512 0
0.548367 -4.11713 0
0.548367 -4.10913 0
0.548367 -4.10112 0
0.548367 -4.09313 0
0.548367 -4.08512 0
0.548367 -4.07712 0
0.548367 -4.06913 0
0.548367 -4.06112 0
0.548367 -4.05312 0
0.548367 -4.04513 0
0.548367 -4.03712 0
0.548367 -4.02913 0
0.548367 -4.02112 0
0.548367 -4.01312 0
0.548367 -4.00513 0
0.556367 -4.94913 0
0.556367 -4.94112 0
0.556367 -4.93313 0
0.556367 -4.92513 0
0.556367 -4.91712 0
0.556367 -4.90913 0
0.556367 -4.90112 0
0.556367 -4.89312 0
0.556367 -4.88513 0
0.556367 -4.87712 0
0.556367 -4.86913 0
0.556367 -4.86112 0
0.556367 -4.85312 0
0.556367 -4.84513 0
0.556367 -4.83712 0
0.556367 -4.82913 0
0.556367 -4.82113 0
0.556367 -4.81312 1
0.556367 -4.80513 0
0.556367 -4.79712 0
0.556367 -4.78912 0
0.556367 -4.78113 1
0.556367 -4.77312 0
0.556367 -4.76513 0
0.556367 -4.75712 0
0.556367 -4.74913 0
0.556367 -4.74113 0
0.556367 -4.73312 0
0.556367 -4.72513 0
0.556367 -4.71712 0
0.556367 -4.70913 0
0.556367 -4.70113 0
0.556367 -4.69312 0
0.556367 -4.68513 0
0.556367 -4.67712 0
0.556367 -4.66912 0
0.556367 -4.66113 0
0.556367 -4.65312 0
0.556367 -4.64513 0
0.556367 -4.63713 0
0.556367 -4.62912 0
0.556367 -4.62113 0
0.556367 -4.61312 0
0.556367 -4.60512 0
0.556367 -4.59713 0
0.556367 -4.58912 0
0.556367 -4.58113 0
0.556367 -4.57312 0
0.556367 -4.56512 0
0.556367 -4.55713 0
0.556367 -4.54912 0
0.556367 -4.54113 0
0.556367 -4.53312 0
0.556367 -4.52513 0
0.556367 -4.51713 0
0.556367 -4.50912 0
0.556367 -4.50113 0
0.556367 -4.49312 0
0.556367 -4.48512 1
0.556367 -4.47713 0
0.556367 -4.46912 0
0.556367 -4.46113 0
0.556367 -4.45313 1
0.556367 -4.44512 1
0.556367 -4.43713 0
0.556367 -4.42912 0
0.556367 -4.42112 0
0.556367 -4.41313 0
0.556367 -4.40512 0
0.556367 -4.39713 0
0.556367 -4.38912 0
0.556367 -4.38112 0
0.556367 -4.37313 0
0.556367 -4.36512 0
0.556367 -4.35713 0
0.556367 -4.34912 0
0.556367 -4.34113 0
0.556367 -4.33313 0
0.556367 -4.32512 0
0.556367 -4.31713 1
0.556367 -4.30912 1
0.556367 -4.30113 0
0.556367 -4.29313 1
0.556367 -4.28512 1
0.556367 -4.27713 0
0.556367 -4.26912 0
0.556367 -4.26112 0
0.556367 -4.25313 0
0.556367 -4.24512 0
0.556367 -4.23712 0
0.556367 -4.22913 0
0.556367 -4.22112 0
0.556367 -4.21313 0
0.556367 -4.20512 0
0.556367 -4.19712 0
0.556367 -4.18913 0
